"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPL21P16",8885.92431480987,7.24434917928903,0.76403165323847,9.48173959623623,2.500786849385e-21,5.98988466164696e-17
"CT47A11",9.33393058530937,25.7998927498656,3.06808559630908,8.40911765333505,4.13106571652491e-17,4.94736430211023e-13
"WNT7B",53.0602238109439,-3.24212028884218,0.478420446322644,-6.77671766280598,1.22936795222435e-11,9.8152737305592e-08
"MRGPRX3",458.877997436527,3.18546098955456,0.473349673718268,6.72961484167096,1.70112778116965e-11,1.01863531536439e-07
"IGHV7-4-1",185.109312641719,3.48019226409529,0.566065329252218,6.14803995979171,7.8446273235596e-10,3.75789027307799e-06
"PTPRN",104.044715738545,-2.40356158684965,0.402172366863003,-5.9764463819276,2.28057566847191e-09,9.10405806853987e-06
"C6orf141",75.0161166255928,-2.2236707837201,0.395005305179995,-5.62947067940473,1.80763496568599e-08,5.71489355423708e-05
"MUC21",8.59910195461322,-2.95987278285677,0.52666103431235,-5.6200717159974,1.90878208224351e-08,5.71489355423708e-05
"LRP1B",243.509217162708,-2.41464353904567,0.433889833875833,-5.56510743170966,2.61990951901728e-08,6.97245253327799e-05
"GRIA2",381.614536590584,-3.11688582242828,0.570724115216603,-5.46128284985005,4.72706202943199e-08,0.000104236794668757
"SERPINB2",160.395182420475,-2.70238428020638,0.495028994752759,-5.45904241741655,4.78709394353846e-08,0.000104236794668757
"ZNF322P1",1257.4203858111,2.39977529960728,0.450004176958922,5.3327844995233,9.67180680983172e-08,0.000175193923006879
"AC026464.6",178.491099604635,2.40075046521288,0.450933421949432,5.3239577027451,1.01533525390532e-07,0.000175193923006879
"SLC7A9",61.7318930239784,1.45305746686127,0.273007410776099,5.32241034311322,1.02401257602551e-07,0.000175193923006879
"WARS",19863.2917228411,1.03703778743342,0.196741101500304,5.27107848601642,1.35624454265775e-07,0.000204917389552744
"C4B",1274.93378769257,1.49971353003458,0.284609108718763,5.2693799463619,1.36885363762688e-07,0.000204917389552744
"SLAMF7",1885.99132886663,1.47039269526748,0.280129745798178,5.24897022655652,1.52951790717117e-07,0.000208330166527524
"SLC6A12",121.36851620717,1.15635259980537,0.220481402717811,5.24467182062226,1.5656074638842e-07,0.000208330166527524
"C1orf116",128.844839795282,-2.24238628486567,0.428506521603593,-5.2330272045196,1.66756185173427e-07,0.000210218113014417
