,TMB
HUGO.0,1645.0
HUGO.1,1943.0
HUGO.2,3985.0
HUGO.3,316.0
HUGO.4,238.0
HUGO.5,1217.0
HUGO.6,807.0
HUGO.7,495.0
HUGO.8,232.0
HUGO.9,104.0
HUGO.10,460.0
HUGO.11,1465.0
HUGO.12,523.0
HUGO.13,526.0
HUGO.14,655.0
HUGO.15,577.0
HUGO.16,73.0
HUGO.17,281.0
HUGO.18,139.0
HUGO.19,2297.0
HUGO.20,483.0
HUGO.21,244.0
HUGO.22,621.0
HUGO.23,261.0
HUGO.24,313.0
HUGO.25,557.0
HUGO.26,81.0
RIAZ.0,
RIAZ.1,646.0
RIAZ.2,852.0
RIAZ.3,153.0
RIAZ.4,224.0
RIAZ.5,16.0
RIAZ.6,49.0
RIAZ.7,544.0
RIAZ.8,11.0
RIAZ.9,437.0
RIAZ.10,
RIAZ.11,283.0
RIAZ.12,182.0
RIAZ.13,285.0
RIAZ.14,75.0
RIAZ.15,217.0
RIAZ.16,449.0
RIAZ.17,2.0
RIAZ.18,183.0
RIAZ.19,412.0
RIAZ.20,87.0
RIAZ.21,106.0
RIAZ.22,365.0
RIAZ.23,700.0
RIAZ.24,212.0
LIU.0,126.0
LIU.1,246.0
LIU.2,125.0
LIU.3,245.0
LIU.4,158.0
LIU.5,45.0
LIU.6,71.0
LIU.7,241.0
LIU.8,230.0
LIU.9,34.0
LIU.10,172.0
LIU.11,767.0
LIU.12,57.0
LIU.13,656.0
LIU.14,414.0
LIU.15,281.0
LIU.16,311.0
LIU.17,630.0
LIU.18,341.0
LIU.19,328.0
LIU.20,388.0
LIU.21,860.0
LIU.22,593.0
LIU.23,2077.0
LIU.24,60.0
LIU.25,48.0
LIU.26,334.0
LIU.27,824.0
LIU.28,288.0
LIU.29,375.0
LIU.30,542.0
LIU.31,320.0
LIU.32,219.0
LIU.33,30.0
LIU.34,23.0
LIU.35,72.0
LIU.36,255.0
LIU.37,202.0
LIU.38,2296.0
LIU.39,46.0
LIU.40,182.0
LIU.41,1566.0
LIU.42,201.0
LIU.43,641.0
LIU.44,10.0
LIU.45,42.0
LIU.46,31.0
LIU.47,1382.0
LIU.48,56.0
LIU.49,678.0
LIU.50,72.0
